번호,인허가일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,영업장주변구분명
308,19910911,서울특별시 은평구 불광동 281-65 ,"서울특별시 은평구 통일로66길 9, 1층 (불광동)",남극회관,한식,193837.291123304    ,456498.018082792    ,한식,기타
309,19910910,서울특별시 서초구 서초동 1689-6번지 103호,"서울특별시 서초구 서초대로 341, 103호 (서초동)",서초보쌈,한식,201589.503806626    ,443697.612920649    ,한식,주택가주변
310,19910910,서울특별시 강북구 수유동 177-48 ,서울특별시 강북구 한천로 1040 (수유동),둘둘치킨,통닭(치킨),202286.883535775    ,459779.593601941    ,통닭(치킨),유흥업소밀집지역
311,19910909,서울특별시 은평구 신사동 17-9번지 ,서울특별시 은평구 갈현로 9 (신사동),비어팝,호프/통닭,191984.429114316    ,455168.631761233    ,호프/통닭,주택가주변
312,19910909,서울특별시 도봉구 창동 135-12번지 ,서울특별시 도봉구 노해로63다길 14 (창동),장수식당,한식,204033.158022861    ,461240.973539634    ,한식,아파트지역
313,19910907,"서울특별시 노원구 중계동 359-9번지 마들프라자 107호,108호 ","서울특별시 노원구 한글비석로 269, 1층 107호, 108호 (중계동, 마들프라자)",스시락,일식,206707.609900045    ,461041.99905811     ,일식,기타
314,19910907,서울특별시 노원구 월계동 635-2번지 지하1층 (재개발멸실) ,서울특별시 노원구 월계로 333 (월계동),맥주창고,호프/통닭,204994.190238075    ,458557.596518683    ,호프/통닭,주택가주변
315,19910906,서울특별시 강동구 성내동 423-3번지 ,서울특별시 강동구 성안로 48 (성내동),성내갈비,한식,211509.667713848    ,447302.409237406    ,한식,주택가주변
316,19910906,서울특별시 관악구 신림동 119-14번지 ,서울특별시 관악구 신림로12길 5 (신림동),버거랩,호프/통닭,194448.980267413    ,441010.200286744    ,호프/통닭,주택가주변
317,19910906,서울특별시 마포구 공덕동 256-13번지 제일빌딩 1층동 17호호,"서울특별시 마포구 만리재로 15, 1층동 17호호 (공덕동,제일빌딩)",레벤호프,분식,195748.06444032     ,449145.578789461    ,분식,기타
318,19910905,서울특별시 송파구 가락동 175-12번지 지상1층 ,"서울특별시 송파구 오금로46길 5, 지상1층 (가락동)",제주몬트락,일식,212001.060130824    ,443822.75079515     ,일식,주택가주변
319,19910905,서울특별시 서초구 서초동 1694-34번지 1층 ,"서울특별시 서초구 서초중앙로26길 8, 1층 (서초동)",산해별미곤드레밥,한식,201175.403468676    ,443694.185782252    ,한식,주택가주변
320,19910905,서울특별시 서대문구 창천동 53-15 2층 ,"서울특별시 서대문구 연세로7길 38, 2층 (창천동)",즙맛,경양식,194171.55355924     ,450622.991218507    ,경양식,학교정화(절대)
321,19910905,서울특별시 서대문구 홍제동 96-5번지 ,"서울특별시 서대문구 통일로 391, 가호 1층 (홍제동)",누구나,한식,195352.248984279    ,453595.476574898    ,한식,기타
322,19910905,서울특별시 종로구 인사동 107-0번지 ,,선비와마부,경양식,198768.021737789    ,452035.783905131    ,경양식,기타
323,19910904,서울특별시 영등포구 도림동 32-32번지 1층 ,"서울특별시 영등포구 신길로 209, 1층 (도림동)",또와유청정명태간장조림도림점,분식,191967.756757627    ,445393.291609163    ,분식,주택가주변
324,19910904,서울특별시 은평구 대조동 197-12번지 1층 ,"서울특별시 은평구 연서로26길 7, 1층 (대조동)",전주추어탕,한식,192900.086967686    ,457203.754724119    ,한식,주택가주변
325,19910904,서울특별시 강북구 번동 242-4 주공1단지 101호 ,"서울특별시 강북구 한천로105길 7 (번동,주공1단지 101호)",마미스 치킨,통닭(치킨),204083.177112537    ,458197.61919645     ,통닭(치킨),아파트지역
326,19910903,"서울특별시 서초구 서초동 1571-6번지 1층, 2층 ","서울특별시 서초구 반포대로28길 65-4, 1,2층 (서초동)",나나마구로,일식,200985.929969247    ,443284.848036957    ,일식,주택가주변
327,19910903,서울특별시 강서구 방화동 607-83번지 (지상 1층) ,"서울특별시 강서구 방화동로12길 19 (방화동,(지상 1층))",장가네치킨,통닭(치킨),183480.385287265    ,451617.635438187    ,통닭(치킨),주택가주변
328,19910903,서울특별시 중랑구 상봉동 85-26 ,서울특별시 중랑구 봉우재로 161 (상봉동),상봉동페리카나,통닭(치킨),207946.967170099    ,454617.199342046    ,통닭(치킨),기타
329,19910902,서울특별시 성북구 석관동 301-20번지 ,서울특별시 성북구 돌곶이로 44-1 (석관동),호수,까페,205233.270709738    ,456203.503576529    ,까페,주택가주변
330,19910901,"서울특별시 강남구 삼성동 145-2번지 지상1,2층 ","서울특별시 강남구 봉은사로 504, 지상1,2층 (삼성동)",종로화덕,한식,204715.649627862    ,445633.285714882    ,한식,기타
331,19910831,서울특별시 강남구 역삼동 818-15 ,"서울특별시 강남구 테헤란로1길 16, 지하층 (역삼동)",미인 이자카야포차,한식,202400.788864932    ,444136.853424488    ,한식,주택가주변
332,19910831,서울특별시 서초구 서초동 1308-4번지 (1층) ,서울특별시 서초구 서초대로77길 45 (서초동),전주해장국,한식,202123.769148202    ,444374.640776733    ,한식,유흥업소밀집지역
333,19910830,서울특별시 서초구 서초동 1718-4 101호,"서울특별시 서초구 법원로1길 11, 101호 (서초동)",커피랑,기타,200746.801472819    ,443405.561043408    ,기타,주택가주변
334,19910830,서울특별시 관악구 봉천동 915-26번지 ,서울특별시 관악구 청룡길 30 (봉천동),털보네,한식,195148.364781018    ,442034.278672734    ,한식,유흥업소밀집지역
335,19910829,서울특별시 노원구 월계동 429-6번지 ,서울특별시 노원구 석계로13길 23 (월계동),이삭토스트광운대점,패스트푸드,205365.468800892    ,457542.275530755    ,패스트푸드,주택가주변
336,19910828,서울특별시 서초구 서초동 1457-4번지 1층 ,"서울특별시 서초구 반포대로10길 45, 1층 (서초동)",예술상회,한식,201193.116060369    ,442444.272215756    ,한식,주택가주변
337,19910828,서울특별시 중구 명동2가 23 1층 ,"서울특별시 중구 명동10길 35-10 (명동2가, 1층)",신서갈비,한식,198695.793530857    ,451139.040512115    ,한식,기타
338,19910827,서울특별시 종로구 창신동 430-5번지 ,,홍아네,분식,201013.719472594    ,452058.667666755    ,분식,기타
339,19910826,서울특별시 마포구 서교동 376-8 1층 ,"서울특별시 마포구 월드컵북로1길 72 (서교동,1층)",합정영양탕,한식,192679.082560609    ,450127.275919318    ,한식,주택가주변
340,19910826,서울특별시 서대문구 창천동 52-79 2층 전체 ,"서울특별시 서대문구 연세로7길 32, 2층 (창천동)",만남양꼬치,기타,194192.793122657    ,450613.049388449    ,기타,주택가주변
341,19910826,서울특별시 중랑구 면목동 50-6번지 ,서울특별시 중랑구 상봉로 8 (면목동),24시돌솥밥기사식당,한식,208310.866525077    ,453825.279795962    ,한식,주택가주변
342,19910824,서울특별시 종로구 관훈동 84-5 ,서울특별시 종로구 인사동14길 24-1 (관훈동),사과나무,한식,198655.062706316    ,452518.532127704    ,한식,기타
343,19910823,서울특별시 중구 남창동 51-1번지 ,,솜다리,경양식,197831.002724157    ,450794.31483169     ,경양식,기타
